name,nationality
Jim Carrey,CAN
Dan Aykroyd,CAN
Pamela Anderson,CAN
Neve Campbell,CAN
Brendan Frasier,CAN
Michael J. Fox,CAN
Sean Connery,GBR
Penélope Cruz,ESP
Charlize Theron,ZAF
Arnold Schwarzenegger,AUT
Roger Moore,ENG
Russel Crowe,NZL
Joaquim de Almeida,PRT
Geoffrey Rush,AUS
Gérard Depardieu,FRA
Pierce Brosnan,IRL
Sophia Loren,ITA
Hugh Jackman,AUS
Hugh Grant,ENG
Natalie Portman,ISR
Antonio Banderas,ESP
Jackie Chan,CHN
Jet Li,CHN
Ewan McGregor,IRL
Salma Hayek,MEX
Sônia Braga,BRA
Alice Braga,BRA
Gael Garcia Bernal,MEX
John Leguizamo,COL
Audrey Tatou,FRA
Vincent Cassel,FRA
Javier Bardem,ESP